Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
67b4ae70d9b5bf74054659ab16ee9d61a6fba31efe03060bcd156070d2f6b67e,2017-02,Suffolk Constabulary,Suffolk Constabulary,,,No location,,,Suspect charged
f6d83b57932fce5ce2a4a882c4bb4d91c69c8c48477157fc442b461c8a753773,2017-02,Suffolk Constabulary,Suffolk Constabulary,1.123345,52.028406,On or near Parking Area,E01029908,Babergh 005D,Investigation complete; no suspect identified
c47d52fd59c20853bc4ccc9bfe3e31541a8f6eb688ef4e1589791b449fb0c786,2017-02,Suffolk Constabulary,Suffolk Constabulary,1.747083,52.468691,On or near Nightclub,E01030258,Waveney 007D,Investigation complete; no suspect identified
0440a861599d4f4e36303f103d0b6c3bc7414ab7b537cb7268e73c317ea493b3,2017-02,Suffolk Constabulary,Suffolk Constabulary,1.530349,52.098979,On or near MILL CLOSE,E01030199,Suffolk Coastal 007C,Investigation complete; no suspect identified
6d4cba8fe4fb4b152ea2cc06520a26d98bc0732b79910c7345bd8bc11f339b06,2017-02,Suffolk Constabulary,Suffolk Constabulary,1.530349,52.098979,On or near MILL CLOSE,E01030199,Suffolk Coastal 007C,Investigation complete; no suspect identified
350234a28a868f0052e470667b364479ab384bd90d1cc64dd3b3054d7424c8f4,2017-02,Suffolk Constabulary,Suffolk Constabulary,1.132389,52.067028,On or near Supermarket,E01030022,Ipswich 006A,Investigation complete; no suspect identified
5850ff055751a1396a3600914c0a80f405abad75b5ea4f75d359fcc8bde913e6,2017-02,Suffolk Constabulary,Suffolk Constabulary,1.725850,52.493306,On or near OULTON ROAD NORTH,E01030280,Waveney 003E,Investigation complete; no suspect identified
ca7c83a2b0c84f8c3a8e43692c6d7d5974eb76e708e6f90956b9cecd211aed5a,2017-02,Suffolk Constabulary,Suffolk Constabulary,0.964149,52.060015,On or near RED HILL,E01029911,Babergh 004F,Investigation complete; no suspect identified
bac75b8d531bfbe95e8fe7d630cb4b54dbcd0933451a5b70ac4afda5e5ad3610,2017-02,Suffolk Constabulary,Suffolk Constabulary,1.182859,52.048047,On or near Supermarket,E01029995,Ipswich 014C,Investigation complete; no suspect identified
9c20d2cb70b82a641aec529b6dd6042dc8626c333c24495fb29f4b7376494652,2017-02,Suffolk Constabulary,Suffolk Constabulary,1.054158,52.151663,On or near PUMP STREET,E01030061,Mid Suffolk 011C,Investigation complete; no suspect identified
e671460a92212c897c8f4393cc91cf8fe240ba83b585294d5a6677ed86088b9a,2017-02,Suffolk Constabulary,Suffolk Constabulary,1.153904,52.056750,On or near Shopping Area,E01033125,Ipswich 007G,Investigation complete; no suspect identified
1136bc9c1ff10e14c180ae1077e1d1abc6d87304b7c79db652a90d3d37511a33,2017-02,Suffolk Constabulary,Suffolk Constabulary,1.127386,52.056837,On or near DICKENS ROAD,E01029984,Ipswich 010A,Investigation complete; no suspect identified
af7f327319146a661503df8d3aa311b5002a874f613fb3b0392b74b971d04598,2017-02,Suffolk Constabulary,Suffolk Constabulary,1.184542,52.040132,On or near HENSTEAD GARDENS,E01029983,Ipswich 016F,Investigation complete; no suspect identified
952a286ae600bd6d2d41791d6c7909cd2ad16995d13f3ed83425c711d725bd15,2017-02,Suffolk Constabulary,Suffolk Constabulary,1.741252,52.465934,On or near ST LEONARD'S ROAD,E01030256,Waveney 007C,Investigation complete; no suspect identified
127767563737bc1270d5102660c07315ef2ed2ac2857ef2076f71630f8849b17,2017-02,Suffolk Constabulary,Suffolk Constabulary,1.157595,52.057577,On or near Supermarket,E01033129,Ipswich 007H,Investigation complete; no suspect identified
30de8b56275dc61cf1a66694c791e678af8659b91746992b5cf39a7f18dc9f54,2017-02,Suffolk Constabulary,Suffolk Constabulary,0.684670,52.241071,On or near FLEMYNG ROAD,E01030148,St Edmundsbury 007E,Investigation complete; no suspect identified
abd417f2f16afda5526c6b6bfa0d558a75d507616d1f5c8ae1531af5a3da9bac,2017-02,Suffolk Constabulary,Suffolk Constabulary,1.741252,52.465934,On or near ST LEONARD'S ROAD,E01030256,Waveney 007C,Investigation complete; no suspect identified
a9617d9a425783c27148ca15ac6345e8d639e5b0fc1b2c2b42f4013354611ab3,2017-02,Suffolk Constabulary,Suffolk Constabulary,1.165426,52.086175,On or near LOWER ROAD,E01030221,Suffolk Coastal 006C,Investigation complete; no suspect identified
be2f3f9005ac0940684444ca41f84425c3aefee7ff8bfc58563336a8a182ffea,2017-02,Suffolk Constabulary,Suffolk Constabulary,1.165426,52.086175,On or near LOWER ROAD,E01030221,Suffolk Coastal 006C,Investigation complete; no suspect identified
0e8b8c6287aa4bee4e54250ff79e3e6b7d5c1b7571cdc6e6dc2ecaae7e04179d,2017-02,Suffolk Constabulary,Suffolk Constabulary,0.747529,52.035258,On or near Parking Area,E01029886,Babergh 008A,Investigation complete; no suspect identified
e1ccc195d0de7563f28739278bfc324c39f42a8209f2af0ef18eff8b29d0abd5,2017-02,Suffolk Constabulary,Suffolk Constabulary,1.184901,52.039645,On or near HULVER COURT,E01029983,Ipswich 016F,Investigation complete; no suspect identified
2b9a35a1b725b3bce512c3d97a243ca40a792be31daa8afdac78e605dba00bb4,2017-02,Suffolk Constabulary,Suffolk Constabulary,1.580966,52.462716,On or near Parking Area,E01030225,Waveney 010C,Investigation complete; no suspect identified
c54f8b72404bba374a51f4a0631f0d123133d3376c48f34ec8df081682262cdc,2017-02,Suffolk Constabulary,Suffolk Constabulary,1.183279,52.048009,On or near Supermarket,E01029995,Ipswich 014C,Investigation complete; no suspect identified
99026da4e8cbaf0984273f9d46d4787200cf74f72d48dafd378545c66565db82,2017-02,Suffolk Constabulary,Suffolk Constabulary,0.965835,52.046923,On or near TOWER MILL LANE,E01029893,Babergh 004B,Investigation complete; no suspect identified
d8dec16e6a283f8e0d6afa0dd97897e0225479f9f33095291477778b46036204,2017-02,Suffolk Constabulary,Suffolk Constabulary,1.509400,52.347217,On or near Sports/Recreation Area,E01030243,Waveney 015B,Investigation complete; no suspect identified
d9891d0dae50995181a6012c40bf44203ce80906afa12d38ebf6391a441a357c,2017-02,Suffolk Constabulary,Suffolk Constabulary,0.526156,52.343363,On or near BURY ROAD,E01029947,Forest Heath 004E,Investigation complete; no suspect identified
1571c4f507fd0eea6d9d21cd9713f7f2b339ee9cdea536661b1c20b010d66a2e,2017-02,Suffolk Constabulary,Suffolk Constabulary,0.626983,52.447068,On or near WELLINGTON CLOSE,E01029927,Forest Heath 001B,Investigation complete; no suspect identified
8b540e8f325df11ce00c2d42f895b04fd0b7d1d90a6759b92a3ef95ec5fbaa66,2017-02,Suffolk Constabulary,Suffolk Constabulary,1.156285,52.057621,On or near NORTHGATE STREET,E01033129,Ipswich 007H,Investigation complete; no suspect identified
74968cd3e556afe43035e14b9334dbd5c2d04429686d64a135748e17b054ecf4,2017-02,Suffolk Constabulary,Suffolk Constabulary,1.742208,52.515331,On or near MANOR PARK ROAD,E01030241,Waveney 001B,Investigation complete; no suspect identified
dbcf643cb73598fd4da12a537f477470908a3890e73e5077841f43d3287b67c9,2017-02,Suffolk Constabulary,Suffolk Constabulary,1.148007,52.047995,On or near BELSTEAD AVENUE,E01029968,Ipswich 012A,Investigation complete; no suspect identified
591c3ce86ec07325c3121c62f2f22c7950f936a929a365b9d9872d749a6f2e6b,2017-02,Suffolk Constabulary,Suffolk Constabulary,1.164003,52.052045,On or near COPROLITE STREET,E01033126,Ipswich 011F,Investigation complete; no suspect identified
9a67ed45e84297d90a355f9d6db9d8dbdb50c611fdade09b66a96f9875ad961b,2017-02,Suffolk Constabulary,Suffolk Constabulary,0.433169,52.084293,On or near STEPHEN CLOSE,E01030110,St Edmundsbury 012B,Investigation complete; no suspect identified
8aeb942b84b2147ff9eed85fa4d8ea9d5975a24d867908e706eb249c408e5edd,2017-02,Suffolk Constabulary,Suffolk Constabulary,1.335794,51.960318,On or near BUTLEY ROAD,E01030170,Suffolk Coastal 014E,Investigation complete; no suspect identified
f15cccec5d8ea8e7ae69c069f19adbb19a56b627e279d6d487d157ff6e965470,2017-02,Suffolk Constabulary,Suffolk Constabulary,1.149397,52.048056,On or near LUTHER ROAD,E01029968,Ipswich 012A,Investigation complete; no suspect identified
60ed6ccf894916ffa901d255a5dd2ecd7ab06cd4293da9dc314b827ea5f35bdd,2017-02,Suffolk Constabulary,Suffolk Constabulary,0.446229,52.085821,On or near CHELMER ROAD,E01030108,St Edmundsbury 014D,Investigation complete; no suspect identified
2ac51cf7f1d45b1def130a064a460815bc04c181784c460142cdc6561f701e56,2017-02,Suffolk Constabulary,Suffolk Constabulary,1.751468,52.479534,On or near LEISTON ROAD,E01030249,Waveney 004C,Investigation complete; no suspect identified
b9b70c0692846e2db1a1a41e66f95a11e24c7d92c4f131e2fb2318a3c566046d,2017-02,Suffolk Constabulary,Suffolk Constabulary,0.929205,52.070935,On or near UNION HILL,E01029911,Babergh 004F,Investigation complete; no suspect identified
8d5963bcc2a6db694a0baf53ff09274a410b672bd3f9a7964d9000cf3f026e6c,2017-02,Suffolk Constabulary,Suffolk Constabulary,0.634324,52.087153,On or near HIGH STREET,E01030099,St Edmundsbury 010A,Investigation complete; no suspect identified
d6792bc3779fe5377d4f14bb1f12d97b98062242b03620f796000a0f083bb2f8,2017-02,Suffolk Constabulary,Suffolk Constabulary,0.747785,52.020665,On or near GAME CLOSE,E01029891,Babergh 008F,Investigation complete; no suspect identified
e615c0ec25bb37a7439ab2d6e3a79260b6ec5b2c8c0257942146f964508cad4a,2017-02,Suffolk Constabulary,Suffolk Constabulary,1.442392,52.445842,On or near PRINCE'S ROAD,E01030232,Waveney 013C,Investigation complete; no suspect identified
ec1d354feba8e82e029a17d11b5dca602f04ecb40c795851c2c668072b11e956,2017-02,Suffolk Constabulary,Suffolk Constabulary,1.326617,51.964374,On or near Petrol Station,E01030168,Suffolk Coastal 014C,Investigation complete; no suspect identified
706879d0f078a5c9b73d31a4d22bf9c2624e37c6d691265cd900ef88c0081e7e,2017-02,Suffolk Constabulary,Suffolk Constabulary,1.423163,52.409336,On or near WASH LANE,E01030285,Waveney 013D,Investigation complete; no suspect identified
960929b34cf7fde6d5481f814c733eb71c1184359425d0a8584cd823a784e20a,2017-02,Suffolk Constabulary,Suffolk Constabulary,1.157762,52.053732,On or near PLEASANT ROW,E01033125,Ipswich 007G,Investigation complete; no suspect identified
5d59739cec07e39a4d610b1f1c81632c3e7496d946748e216988a5766a53599a,2017-02,Suffolk Constabulary,Suffolk Constabulary,1.157669,52.049112,On or near FELAW STREET,E01033122,Ipswich 012F,Investigation complete; no suspect identified
730606849bc20c46733973b7adc71a948dac93e71167e7667d8bb8d0bc5f0be0,2017-02,Suffolk Constabulary,Suffolk Constabulary,1.191802,52.040906,On or near RECREATION WAY,E01029994,Ipswich 014B,Investigation complete; no suspect identified
e088eaac7be83c6b97e30e1956a2943823caa2bc246bf1c8d47ae4391207fcf9,2017-02,Suffolk Constabulary,Suffolk Constabulary,1.564534,52.458913,On or near NEWGATE,E01030225,Waveney 010C,Investigation complete; no suspect identified
8be480c8746cfcfefe3753291a0615a77fd94833a425f1f59c33cb10036d1fb8,2017-02,Suffolk Constabulary,Suffolk Constabulary,1.740749,52.460526,On or near Park/Open Space,E01030256,Waveney 007C,Investigation complete; no suspect identified
0abb7edac79d4989e169e127e380f8e114310751a03df430768d753227b24186,2017-02,Suffolk Constabulary,Suffolk Constabulary,0.929205,52.070935,On or near UNION HILL,E01029911,Babergh 004F,Investigation complete; no suspect identified
c4c5d60ca51dd281a3b05595b381baee73efe6f30b41851b10ba54737b1caf7b,2017-02,Suffolk Constabulary,Suffolk Constabulary,0.929205,52.070935,On or near UNION HILL,E01029911,Babergh 004F,Investigation complete; no suspect identified
561a9bfd955a4cc417c0007cad72b8fe0f0cbced6db141b4b84cbe1efd05279e,2017-02,Suffolk Constabulary,Suffolk Constabulary,0.508252,52.340651,On or near Park/Open Space,E01029947,Forest Heath 004E,Investigation complete; no suspect identified
734be61586f61b6857233fa51fbb54d91cf23393fe8e76db4166f52432bc52c9,2017-02,Suffolk Constabulary,Suffolk Constabulary,1.151592,52.056443,On or near COYTES GARDENS,E01033125,Ipswich 007G,Investigation complete; no suspect identified
2ee7a7c1020f4b5209754d2b92934a20e7336eb350a684c971f794e477169092,2017-02,Suffolk Constabulary,Suffolk Constabulary,1.481680,52.214623,On or near Sports/Recreation Area,E01030210,Suffolk Coastal 003D,Investigation complete; no suspect identified
1c967cb4b7cb75e917d76c591afa0b834e09112346734b75dc77eb551c180b2e,2017-02,Suffolk Constabulary,Suffolk Constabulary,1.159617,52.056660,On or near UNION STREET,E01033129,Ipswich 007H,Investigation complete; no suspect identified
06a05e9e3999a53ed724e4de87407ef1b195d6d76aced3c6de61f8866ff2a50d,2017-02,Suffolk Constabulary,Suffolk Constabulary,1.350941,51.962532,On or near Shopping Area,E01030165,Suffolk Coastal 015C,Investigation complete; no suspect identified
7e7a753d1b62d1de3c1d29a469c40f0aa2de7119bff27454e1f8d2358d0b2118,2017-02,Suffolk Constabulary,Suffolk Constabulary,1.146311,52.060595,On or near BARRACK LANE,E01030024,Ipswich 006C,Investigation complete; no suspect identified
