Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
6b7125069a2097dc86847d08ef5f4f57aed492bda22aa7d43ee95d34a3d0a787,2017-05,Essex Police,Essex Police,0.255054,52.017517,On or near MONKS HILL,E01022081,Uttlesford 002F,Investigation complete; no suspect identified
84e839fb5a074c7baf303304e2a34ea14be837b4a9afe27eb0b8d86e630c8b20,2017-05,Essex Police,Essex Police,0.898530,51.887615,On or near ST JOHN'S STREET,E01021649,Colchester 007D,Investigation complete; no suspect identified
b692220a0c193ac6f38b06c208487d60c0712dc8a0b97847dcd88dc9dfcc9f55,2017-05,Essex Police,Essex Police,0.590181,51.559614,On or near MALYON COURT CLOSE,E01021482,Castle Point 006A,Investigation complete; no suspect identified
865bd4abef4c13702ff0229f4d07c7d728b6292366fb014a496e130e74b5d5a0,2017-05,Essex Police,Essex Police,0.473482,51.731591,On or near BARRACK SQUARE,E01033140,Chelmsford 010F,Investigation complete; no suspect identified
92318ba23c5565e6d2ffe81c05c22b01b391cfcdead07e774a957136f5f70353,2017-05,Essex Police,Essex Police,1.230915,51.926783,On or near DAVALL CLOSE,E01022028,Tendring 004F,Investigation complete; no suspect identified
0ea052afe05516d97a2950d62646a51c3c3a51feb264bd7980a3e2d3a6036dac,2017-05,Essex Police,Essex Police,0.479067,51.566467,On or near SUNNEDON,E01021324,Basildon 019C,Investigation complete; no suspect identified
57fd0aa0d1da5131cdd977c5d55a4c574f64104934be6ee6bb295bc97283d5fc,2017-05,Essex Police,Essex Police,0.423167,51.556187,On or near WESTLEY ROAD,E01021282,Basildon 021C,Investigation complete; no suspect identified
ee0788d4b0dcab996afc801d5d54d2b29a6124ce524981dc05f359fff0f13c4c,2017-05,Essex Police,Essex Police,0.492169,51.574364,On or near KENNET WAY,E01021271,Basildon 013A,Investigation complete; no suspect identified
a30effe574019a4695449d1ae4a59c6cca4c765b19d96a25c847e8ebb4d742a0,2017-05,Essex Police,Essex Police,0.488654,51.756775,On or near KNAPTON CLOSE,E01021617,Chelmsford 004B,Investigation complete; no suspect identified
f846c00939cd8fb2f0381af4ccd9d1c66d663dd59e7c0ded09758c9fca0966e2,2017-05,Essex Police,Essex Police,0.491946,51.723143,On or near SPRING POND CLOSE,E01021564,Chelmsford 013D,Investigation complete; no suspect identified
914c642b24a59cb4cd5f0283c4bd1cd8b6b189122249332aac36237a999b44ba,2017-05,Essex Police,Essex Police,0.259224,51.712058,On or near Conference/Exhibition Centre,E01021769,Epping Forest 003A,Investigation complete; no suspect identified
dc17b63e1a9a2c0410210c524ca3bf3e81eec00738153eab2a576e29cc0a544a,2017-05,Essex Police,Essex Police,0.252134,51.478946,On or near LOCKYER ROAD,E01016012,Thurrock 015C,Investigation complete; no suspect identified
479b40647b0a4f52cba8d14cf2e5875bf3fe033d0f92006505d3c2a81ced532e,2017-05,Essex Police,Essex Police,0.091222,51.607591,On or near TROTWOOD,E01021765,Epping Forest 017B,Investigation complete; no suspect identified
9c312bfbd677775ac4cb5b79467904d5f9950b5b2d0fc2c526a95d8d1bfeaf87,2017-05,Essex Police,Essex Police,0.674415,51.555691,On or near MANNERING GARDENS,E01015857,Southend-on-Sea 004A,Investigation complete; no suspect identified
375803139976864f935e3acecb48a3b4d11cc92619b94cc37b2d0b3959e232e7,2017-05,Essex Police,Essex Police,0.000786,51.685766,On or near RUE DE ST LAWRENCE,E01021818,Epping Forest 009C,Investigation complete; no suspect identified
b49770d5e1d4a39694a6d2fabc6f256e2ebb808d60f991d1be3719d176211e2e,2017-05,Essex Police,Essex Police,0.453841,51.570981,On or near WESTGATE,E01021318,Basildon 015C,Investigation complete; no suspect identified
8de0769d7c40e5e05461fb530ed7de25a3951c79b44bb59c218e3e59e68de7bc,2017-05,Essex Police,Essex Police,0.357588,51.573297,On or near TILBURY ROAD,E01021446,Brentwood 009B,Investigation complete; no suspect identified
db0e2da4e1414b4ef88d39b1680f529c366ecab40b75acf6368937a4dd80446c,2017-05,Essex Police,Essex Police,0.501215,51.592707,On or near SOUTHEND ARTERIAL ROAD,E01021330,Basildon 006C,Investigation complete; no suspect identified
7cd99086f84c24eacfde7647ce0287cce32903ad5d64f0dcfbb250062b164bef,2017-05,Essex Police,Essex Police,0.236110,51.494676,On or near Sports/Recreation Area,E01015925,Thurrock 008D,Investigation complete; no suspect identified
bb431f156824df709ba55d3c57061c6882435c649ec35530c5aebb30f549d58f,2017-05,Essex Police,Essex Police,0.904292,51.884343,On or near FAIRFAX ROAD,E01021683,Colchester 011A,Investigation complete; no suspect identified
d3bc6065bc1620227c4423c3ec2d5d3f6cc95e0e6c534b83840ee7b7058865e5,2017-05,Essex Police,Essex Police,1.284335,51.942500,On or near VANSITTART STREET,E01021997,Tendring 001A,Investigation complete; no suspect identified
1e227430e29391f1dec28bb3c6091a1e5c8570b06e12d9e0a00f0593602d4988,2017-05,Essex Police,Essex Police,0.890903,51.884278,On or near SALISBURY AVENUE,E01021651,Colchester 013A,Investigation complete; no suspect identified
3f7d80030b8782d249880d9ace3ea8a899f52de3d1dc922c9bc83a8a1ef70b3a,2017-05,Essex Police,Essex Police,0.240754,52.027681,On or near CATONS LANE,E01022078,Uttlesford 002C,Investigation complete; no suspect identified
9e5ba311ea254321ce3514353460c8fd95209ebe8aa7c825bf0f3f6a45ba10e1,2017-05,Essex Police,Essex Police,0.668332,51.571551,On or near THE BENTLEYS,E01015863,Southend-on-Sea 002A,Investigation complete; no suspect identified
cbc8bf35f1914c0a933c4f9403677dfba77f141bf780425a90fddafd3eb5d256,2017-05,Essex Police,Essex Police,0.596014,51.513565,On or near LOVENS CLOSE,E01021500,Castle Point 012E,Investigation complete; no suspect identified
b8d0c7526820217c15325e7bbed74604fb612064a33075fe4f9375dae884415d,2017-05,Essex Police,Essex Police,1.184913,51.804259,On or near Parking Area,E01022033,Tendring 012B,Investigation complete; no suspect identified
a88231b4d607aef8b057c2ea8886c9daacc6ef09d5d8a1511c7ab3a34655f541,2017-05,Essex Police,Essex Police,0.570999,51.524962,On or near SUFFOLK WAY,E01021508,Castle Point 010F,Investigation complete; no suspect identified
7e608904568e1796d95f0db6c4ee865886dfd51cbc4da3e0c6d8c836b42db6d3,2017-05,Essex Police,Essex Police,0.586130,51.531959,On or near Supermarket,E01021504,Castle Point 008C,Investigation complete; no suspect identified
7bd5d660cea974f3df8a691e447ec39412053396c94e3aae078bbc11ee68c116,2017-05,Essex Police,Essex Police,0.317974,51.494444,On or near A1012,E01015939,Thurrock 020A,Investigation complete; no suspect identified
00a03e5288777137a945de367a8e590dbe510256febecbfbc53d68d9ec3c5a89,2017-05,Essex Police,Essex Police,0.099227,51.748110,On or near MAUNDS HATCH,E01021860,Harlow 010D,Investigation complete; no suspect identified
5756ee950088fcbf18ab8f22f255d6865aa85ddf2a15e4160106f02597f2046d,2017-05,Essex Police,Essex Police,0.591475,51.557751,On or near STRANGMAN AVENUE,E01021482,Castle Point 006A,Investigation complete; no suspect identified
8f27d06b5af4290357418ab598d92f12498ee440723449e624fb445936b7de1c,2017-05,Essex Police,Essex Police,0.121382,51.760859,On or near Supermarket,E01021821,Harlow 008A,Investigation complete; no suspect identified
b3fd318fed6d63e5ec996c070d79dcfdf62babc205011ada2b7938b77ffb25f8,2017-05,Essex Police,Essex Police,0.228365,51.650580,On or near SABINES ROAD,E01021443,Brentwood 001C,Investigation complete; no suspect identified
