Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
772c813e69439cdae8e6db4e1831402080dbbf924959360298f3fee16dc5da0e,2019-07,South Wales Police,South Wales Police,-3.188807,51.492716,On or near NORTH ROAD,W01001721,Cardiff 032A,Investigation complete; no suspect identified
afc2e23c7999a68c6e35c7c05d9587ead9363fa5ac05a7a1fe3249478ef0ab7d,2019-07,South Wales Police,South Wales Police,-3.164607,51.467826,On or near HEOL HEMINGWAY,W01001943,Cardiff 048B,Investigation complete; no suspect identified
06feee7d87652fc7a8dd1c5e0f15309802d559eaa2419454359a7e7136de726f,2019-07,South Wales Police,South Wales Police,-3.218916,51.481490,On or near HEDEL ROAD,W01001709,Cardiff 040A,Investigation complete; no suspect identified
e3a9222b2a5dce06cfd9b6d5724dfac55cdc392f8dfc84193ba76146399bdfd6,2019-07,South Wales Police,South Wales Police,-3.447215,51.716597,On or near Petrol Station,W01001148,Rhondda Cynon Taf 002A,Investigation complete; no suspect identified
3af81261579aed3a7562d9fa088dff00afff5bc2b81c79e3aed49bc39ac548e6,2019-07,South Wales Police,South Wales Police,-3.138724,51.498545,On or near RHYMNEY RIVER BRIDGE ROAD,W01001825,Cardiff 029D,Investigation complete; no suspect identified
b655dd8f458e4d1cba668855785c1c91fe149443a7863a88da08b51f2ef42aa9,2019-07,South Wales Police,South Wales Police,-3.177277,51.479605,On or near Nightclub,W01001941,Cardiff 032G,Investigation complete; no suspect identified
42791702f09d136feb03d3d71c0d7bf52d3ae126bdf0fa603ff31bac2743a77b,2019-07,South Wales Police,South Wales Police,-3.163229,51.486669,On or near SOUTHEY STREET,W01001835,Cardiff 033F,Investigation complete; no suspect identified
2dc9c4cf9f8812bdea3d73f0844b8cb297191cab800013abc9d6012aa122d33f,2019-07,South Wales Police,South Wales Police,-3.176976,51.482989,On or near GREYFRIARS PLACE,W01001939,Cardiff 032F,Investigation complete; no suspect identified
cf366d1380bd223e1e52d3b258e64d6be7a233e66406940be88b2205f39c19cf,2019-07,South Wales Police,South Wales Police,-3.201435,51.507325,On or near LLWYNDERW ROAD,W01001890,Cardiff 021D,Investigation complete; no suspect identified
50544da5b764e120d7c7dfc8615724faa858239dff018736e363b61bb94e4078,2019-07,South Wales Police,South Wales Police,-3.949953,51.623764,On or near STANLEY PLACE,W01000746,Swansea 025C,Investigation complete; no suspect identified
22f0c9297d28390041cee432ce7d2e7aadd6edacd1123080edcc1efe13217499,2019-07,South Wales Police,South Wales Police,-3.176976,51.482989,On or near GREYFRIARS PLACE,W01001939,Cardiff 032F,Investigation complete; no suspect identified
8be0986733ddf6d6ea532bf52ebd8ebf4057bd14c0540562cc4458d8c77e8b13,2019-07,South Wales Police,South Wales Police,-3.275787,51.391684,On or near PAGET ROAD,W01001061,The Vale of Glamorgan 015C,Investigation complete; no suspect identified
973f8c72a279bfbaf932b566bc8083443297fd72224aa0d8f26eb9c2ab3b7938,2019-07,South Wales Police,South Wales Police,-3.845300,51.716665,On or near BRYN GOLAU,W01000888,Neath Port Talbot 004A,Investigation complete; no suspect identified
43b2cfa230b0a8a7c40770f4bf08a26f0a097112d2536bab5d6a7f564930ce7f,2019-07,South Wales Police,South Wales Police,-3.374287,51.751515,On or near THE RINK,W01001315,Merthyr Tydfil 004D,Investigation complete; no suspect identified
295294c1752cb1533d481c282bb9e15b1e27c11b217b4fe76315d84464e21807,2019-07,South Wales Police,South Wales Police,-3.223287,51.509194,On or near BISHOPS CLOSE,W01001887,Cardiff 020A,Investigation complete; no suspect identified
2e45180562ca4b068c3e1e582b84dabe808579891a9024aed3b8f8b5fd30e855,2019-07,South Wales Police,South Wales Police,-3.174655,51.481807,On or near Shopping Area,W01001939,Cardiff 032F,Investigation complete; no suspect identified
01f7aaeb64a40619033b881eb9c940b7621ea298d14910009340a6915e0ba269,2019-07,South Wales Police,South Wales Police,-3.925090,51.661978,On or near MORFYDD STREET,W01000812,Swansea 008C,Investigation complete; no suspect identified
6cc571172678642f32896a50ddd83293bd53ab7dbd2337406e420111c0005b54,2019-07,South Wales Police,South Wales Police,-3.201711,51.513949,On or near SUMMERFIELD PLACE,W01001775,Cardiff 021B,Investigation complete; no suspect identified
3601dba8e2f4d8317f044b4ac061f7a842d3d2c176d5ad828b958d4330b9cf74,2019-07,South Wales Police,South Wales Police,-3.406328,51.755542,On or near HEOL TWYN DU,W01001292,Merthyr Tydfil 004A,Investigation complete; no suspect identified
35e970fa2747ac8a4c253f66b87840b6f1ea496f7ff665fab56055ca940f6ea3,2019-07,South Wales Police,South Wales Police,-3.920352,51.662443,On or near Supermarket,W01000812,Swansea 008C,Investigation complete; no suspect identified
5306a684abcb1231bcbc4c4e27d49878ad7234c9d52a703c03532e3907a046b9,2019-07,South Wales Police,South Wales Police,-3.164784,51.496230,On or near WELLFIELD ROAD,W01001824,Cardiff 029C,Investigation complete; no suspect identified
ef5fc5b2c2df651c20bbafbfed92e67f11e3bbdc5c32fd3e792e57bf1b8c2945,2019-07,South Wales Police,South Wales Police,-3.711285,51.764022,On or near HEOL HEN,W01000965,Neath Port Talbot 002C,Investigation complete; no suspect identified
8eaacc3d9e5e8e5bac25d048681868682b751fdbb694672032984357d1e562a7,2019-07,South Wales Police,South Wales Police,-3.927895,51.681734,On or near Sports/Recreation Area,W01000807,Swansea 003B,Investigation complete; no suspect identified
2bba94047967867284efcc318b02e9c566f61a8c08de90e4dcacde7ab9781145,2019-07,South Wales Police,South Wales Police,-3.227402,51.501472,On or near BRIDGE ROAD,W01001786,Cardiff 023B,Investigation complete; no suspect identified
5aa394145538cceb4dfdf2f0de5c6f43b1a364b4f22f3f9e1570304de1bd0eee,2019-07,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
71282e7c235be5b9f8f5fb48b79498620430f275b44ff61cac7ad87845cb7364,2019-07,South Wales Police,South Wales Police,-3.202488,51.525423,On or near A469,W01001953,Cardiff 005G,Investigation complete; no suspect identified
60d473a873ea864bd6af1e6f68236f9e8eaada6a55a53ea910482c92612a7ecf,2019-07,South Wales Police,South Wales Police,-3.427775,51.701495,On or near CHAPEL STREET,W01001138,Rhondda Cynon Taf 005B,Investigation complete; no suspect identified
f90f743c1135635bfaec6798d2e36754cbfda6a61482d3165a5e90be913c92bf,2019-07,South Wales Police,South Wales Police,-3.178431,51.481895,On or near Shopping Area,W01001939,Cardiff 032F,Investigation complete; no suspect identified
2bd8ff406e453061ef597da1e8378055b79124216b26fb0b6e673e607a407be1,2019-07,South Wales Police,South Wales Police,-3.182943,51.507665,On or near ALLENSBANK ROAD,W01001770,Cardiff 018B,Investigation complete; no suspect identified
e12bcb42497f5f13dcae83d315b2c406fffa2955c061c9f33c6560b0045a0dfb,2019-07,South Wales Police,South Wales Police,-4.035349,51.671143,On or near CWRT RHIAN,W01000773,Swansea 005A,Investigation complete; no suspect identified
beade3d1fe61664e9954c0f1455acbfca8673fbe32557e1cbe24c34d0ce4a938,2019-07,South Wales Police,South Wales Police,-3.179290,51.481140,On or near Shopping Area,W01001939,Cardiff 032F,Investigation complete; no suspect identified
