Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
2a756658e16843fa1c272af157321894d537e0197f90eb8891a2f7bfa380be89,2017-03,Norfolk Constabulary,Norfolk Constabulary,,,No location,,,Formal action is not in the public interest
c8fcee84ba004ed609f5b26f2e816daa12d4615ff897748997ee5dadf79ae30d,2017-03,Norfolk Constabulary,Norfolk Constabulary,0.850513,52.569793,On or near TRENCHARD CRESCENT,E01026487,Breckland 009B,Investigation complete; no suspect identified
bae273d6df6de8c80904be256214d4d2262c0fcde72ff15e8afa6df84730405d,2017-03,Norfolk Constabulary,Norfolk Constabulary,0.537686,52.458172,On or near STATION ROAD,E01026648,King's Lynn and West Norfolk 019A,Investigation complete; no suspect identified
0715a2ec6aa82350619d7f92fca2aee7c390062fab786addd1222f8a41f1b625,2017-03,Norfolk Constabulary,Norfolk Constabulary,1.366235,52.728671,On or near KINGS ROAD,E01026517,Broadland 003D,Investigation complete; no suspect identified
f8888e9de7e91a7dbe1cc5a107fc4ec214c98a8b99618cf128a4e3051f09e7b2,2017-03,Norfolk Constabulary,Norfolk Constabulary,1.296619,52.610609,On or near MANSFIELD LANE,E01026819,Norwich 013D,Investigation complete; no suspect identified
83ddc2957ff777a2770a00f6e7c1ef259124fab780f2c48ca9a0dd252f076c29,2017-03,Norfolk Constabulary,Norfolk Constabulary,1.623987,52.481066,On or near DUN COW ROAD,E01026943,South Norfolk 010C,Investigation complete; no suspect identified
5f0cc9a68d56d11a78897ac4c4b27d61e0367c8afe8aa6e0dc6d34963bda2f14,2017-03,Norfolk Constabulary,Norfolk Constabulary,0.171004,52.652254,On or near HUNTERS ROWE,E01026660,King's Lynn and West Norfolk 016B,Investigation complete; no suspect identified
a3793f881b8fc9651a89083c4d01828f354fae6feeefd4c2b7b3878383562122,2017-03,Norfolk Constabulary,Norfolk Constabulary,1.310002,52.634258,On or near A147,E01026850,Norwich 015C,Investigation complete; no suspect identified
1ff36fdb7c6e133f57f0a4d22876ed5ebc78a40ad35ca9533f32d22d08e9585f,2017-03,Norfolk Constabulary,Norfolk Constabulary,1.315177,52.631334,On or near QUEBEC ROAD,E01026850,Norwich 015C,Investigation complete; no suspect identified
06a6127215814cbf7caaf294054690e287b8c3840416e0b77d3275000f576434,2017-03,Norfolk Constabulary,Norfolk Constabulary,0.538801,52.943310,On or near PEDDARS WAY NORTH,E01026681,King's Lynn and West Norfolk 001B,Investigation complete; no suspect identified
15c0847f166fb5c3dfe689b99bd0302cb01f71cca564ee617d29d8250ff57083,2017-03,Norfolk Constabulary,Norfolk Constabulary,1.339695,52.647184,On or near Sports/Recreation Area,E01026809,Norwich 004G,Investigation complete; no suspect identified
f1e114dc3d78b792a697d1e686007016bb65895b825fa6f855a4e8d8d9e03e09,2017-03,Norfolk Constabulary,Norfolk Constabulary,1.369594,52.665826,On or near LONG'S CRESCENT,E01026578,Broadland 008C,Investigation complete; no suspect identified
85d6cae1ec3d40644f5d24b0d0f1f7c7a5df31a14468134e2e646d6e8aef689c,2017-03,Norfolk Constabulary,Norfolk Constabulary,1.436057,52.633733,On or near FROGS HOLE,E01026505,Broadland 014B,Investigation complete; no suspect identified
fd3bf0451d894a7621621054e08bf8e36d090c56447940210016ce53039e5dc0,2017-03,Norfolk Constabulary,Norfolk Constabulary,1.253995,52.621745,On or near NORTH PARK AVENUE,E01026810,Norwich 012A,Investigation complete; no suspect identified
86330fa55ed1f9164cec362991eebc6999fd3c01ef8dfd83bc9e9031f059aa80,2017-03,Norfolk Constabulary,Norfolk Constabulary,1.716017,52.651105,On or near FAIRISLE DRIVE,E01026590,Great Yarmouth 003B,Investigation complete; no suspect identified
44679d5fdc383734030a1f68bf8a0b96abe1201e6a31e5df4be31277dae2240f,2017-03,Norfolk Constabulary,Norfolk Constabulary,1.014090,52.519451,On or near QUEEN'S ROAD,E01026449,Breckland 011D,Investigation complete; no suspect identified
dd6d43ab4c2f173cb823509232333e4e6ff365a2805bfc057c377d5f917d03a9,2017-03,Norfolk Constabulary,Norfolk Constabulary,0.426545,52.766085,On or near FOLLY COURT,E01026669,King's Lynn and West Norfolk 006A,Investigation complete; no suspect identified
8df8b79984a85eb714b1a05ff33f37025e01b53fc96e4bc1c4ab1fc89904829f,2017-03,Norfolk Constabulary,Norfolk Constabulary,1.290087,52.630469,On or near ST LAWRENCE LANE,E01026822,Norwich 007A,Investigation complete; no suspect identified
d874a34d7452a1fe629a1d0629caa5069c2f104426c204778dead33641f1204c,2017-03,Norfolk Constabulary,Norfolk Constabulary,1.045365,52.771984,On or near THE STREET,E01026522,Broadland 002A,Investigation complete; no suspect identified
8afb8210d8be9ed68d5d9e11dd213544decfb804257be94dd7656b54244a4850,2017-03,Norfolk Constabulary,Norfolk Constabulary,1.247796,52.629236,On or near Petrol Station,E01026861,Norwich 010D,Investigation complete; no suspect identified
aad3e18f6d376dcfbbb34682f9faab4c4ae2e44cf0f84c907fbea3c18c9e9196,2017-03,Norfolk Constabulary,Norfolk Constabulary,1.276522,52.655821,On or near SPYNKE ROAD,E01026832,Norwich 002E,Investigation complete; no suspect identified
039d50f12ede03170bd7787974155c1fabde84cd2eb7139314d1f8dc6455dd10,2017-03,Norfolk Constabulary,Norfolk Constabulary,1.726994,52.657740,On or near JOHN ROAD,E01026591,Great Yarmouth 003C,Investigation complete; no suspect identified
c612b4231d835622c2f887e185d6e97ca6a082ff051252bd5cd5c85cf4797c00,2017-03,Norfolk Constabulary,Norfolk Constabulary,0.925927,52.678231,On or near WILLOW ROAD,E01026452,Breckland 004B,Investigation complete; no suspect identified
b84c4c137e0591c0ed36c3fd162c857ff03dd217e8ccc421948dfa8a1efdb4eb,2017-03,Norfolk Constabulary,Norfolk Constabulary,0.476429,52.917427,On or near NORTH BEACH,E01026678,King's Lynn and West Norfolk 003C,Investigation complete; no suspect identified
6340b5335ebf24cfa8445e1d10bb85fc113fb8d93065f63bf9ac67a1333f66cc,2017-03,Norfolk Constabulary,Norfolk Constabulary,0.942793,52.675565,On or near CYGNET ROAD,E01026425,Breckland 005A,Investigation complete; no suspect identified
830801d94e8a64bd50029ab3657c8b116b116a8c31ace8568e5a3c818759cf9f,2017-03,Norfolk Constabulary,Norfolk Constabulary,0.747903,52.413779,On or near Nightclub,E01026468,Breckland 016A,Investigation complete; no suspect identified
a86d932bdd6815d694d2c90adbbe735d22d370d38b439be56096fc0b72a1ed68,2017-03,Norfolk Constabulary,Norfolk Constabulary,1.423365,52.628902,On or near PARKER CLOSE,E01026509,Broadland 017B,Investigation complete; no suspect identified
841deaa1fd0730dc9ab9c63115f57945394c4afae4694bc5c8fd6b0db1bf244a,2017-03,Norfolk Constabulary,Norfolk Constabulary,1.555428,52.641009,On or near THE DRIVE,E01026497,Broadland 018A,Investigation complete; no suspect identified
39570c60b40153595ae954933b6ca672cc01de225b8a020956bb2be00d27527c,2017-03,Norfolk Constabulary,Norfolk Constabulary,1.713794,52.563315,On or near POTTERS FIELD,E01026617,Great Yarmouth 011A,Investigation complete; no suspect identified
23ff1e17ac6bdd05ffafeff9ea5f98646953e42a579905a168e5a058d5ca76f1,2017-03,Norfolk Constabulary,Norfolk Constabulary,1.300319,52.629726,On or near Nightclub,E01033438,Norwich 014A,Investigation complete; no suspect identified
757ab7b369a50052c6ef1c808e4ebae82706499e0f0de9c3a4879f781dde9cfb,2017-03,Norfolk Constabulary,Norfolk Constabulary,0.750167,52.420858,On or near Parking Area,E01026466,Breckland 015B,Investigation complete; no suspect identified
6906236accc5e6ef9c4bc547af5623c3a0a65078aa3f4846f63407c60ed107c5,2017-03,Norfolk Constabulary,Norfolk Constabulary,0.391899,52.669985,On or near RECTORY LANE,E01026722,King's Lynn and West Norfolk 015C,Investigation complete; no suspect identified
5fd68bbf8146b8e255562e38aa4f02a1d40fd9d11abc7b6b8e15ccc029f0634f,2017-03,Norfolk Constabulary,Norfolk Constabulary,0.942301,52.682331,On or near WELLINGTON ROAD,E01026429,Breckland 003B,Investigation complete; no suspect identified
076f78584423e47f98ad6240824d739f6203bed93b88da31e176e39974611a75,2017-03,Norfolk Constabulary,Norfolk Constabulary,1.150239,52.928331,On or near SANDY HILL LANE,E01026741,North Norfolk 004A,Investigation complete; no suspect identified
348ce548b15b95675cf781b2236d59d96e59ff2457d3a5fcdd2882ac347b8ae9,2017-03,Norfolk Constabulary,Norfolk Constabulary,1.279527,52.632759,On or near WYMER STREET,E01026824,Norwich 007C,Investigation complete; no suspect identified
e16fa2867c6fa2e1d0973c6fbb0d4618c50c5fb6c12a5b7786e0fd514700ed29,2017-03,Norfolk Constabulary,Norfolk Constabulary,1.209884,52.689132,On or near NABER FURLONG,E01026563,Broadland 006B,Investigation complete; no suspect identified
1be8058bd13073cbc3a34a57d9c83883f89baf8e534f2d066366d8fd2a388397,2017-03,Norfolk Constabulary,Norfolk Constabulary,0.328031,52.698636,On or near HIGH ROAD,E01026696,King's Lynn and West Norfolk 015A,Investigation complete; no suspect identified
9a3a172941231d5b64b0c2a4cf5522cdab7cdbcd2429f01ef37e295b144a72bf,2017-03,Norfolk Constabulary,Norfolk Constabulary,1.294877,52.627539,On or near Bus/Coach Station,E01026822,Norwich 007A,Investigation complete; no suspect identified
bfaa32a7867d04769e6fd5fed510d33f2d05a6ec0a115a1f3e659605d8890045,2017-03,Norfolk Constabulary,Norfolk Constabulary,0.756716,52.427522,On or near Further/Higher Educational Building,E01026472,Breckland 016E,Investigation complete; no suspect identified
8f297e387ad89b2286ba1660b6421863e452d7bd28d8661e8bf0217d7b117034,2017-03,Norfolk Constabulary,Norfolk Constabulary,0.735238,52.408992,On or near LONDON ROAD,E01026476,Breckland 017C,Investigation complete; no suspect identified
46c0c2d678378f864357e86b9195e37d5ce701be7a954a2faa44b621aedd5c09,2017-03,Norfolk Constabulary,Norfolk Constabulary,1.730533,52.600494,On or near BLACKFRIARS' ROAD,E01026625,Great Yarmouth 006D,Investigation complete; no suspect identified
