Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
679540c0b7659c72b00c75e44a157510dc535ccf5d4a283ff51745864ad515da,2017-02,Cleveland Police,Cleveland Police,-1.156797,54.556955,On or near THE JENNINGS,E01012145,Redcar and Cleveland 015B,Local resolution
75d9a1717960402040737e1d71929a8cbaf7d4393a1cf8bf508743914babf173,2017-02,Cleveland Police,Cleveland Police,-1.299002,54.554627,On or near Supermarket,E01012286,Stockton-on-Tees 017A,Local resolution
b9a716d197940d7ceef718ea7f63ab4a0d6e6a54d77b1cc05f7a880878d3a682,2017-02,Cleveland Police,Cleveland Police,-1.206631,54.686102,On or near DOVER STREET,E01012000,Hartlepool 007E,Local resolution
4aa110219c7fa4fe7cba75c942ca56c23eb10519f9ddf2deba4a3f0d1977a895,2017-02,Cleveland Police,Cleveland Police,-1.189969,54.513019,On or near BRASS CASTLE LANE,E01012066,Middlesbrough 017B,Local resolution
da60acfa084ccb9853a349bc8d77ccb175f3be0c91fe4770250e9d59fa7cbb49,2017-02,Cleveland Police,Cleveland Police,-1.213290,54.684241,On or near Middleton Grange Shopping Centre,E01011999,Hartlepool 007D,Local resolution
0159d30c1ed4f6c76acd2c90505b109a612b1cbac0ca8cbe76dc19013f79689f,2017-02,Cleveland Police,Cleveland Police,-1.354154,54.508623,On or near HIGH STREET,E01012299,Stockton-on-Tees 024C,Local resolution
91526d41b02b8d4920660b48884592561029348b3480e04572fa6dd2e14694d6,2017-02,Cleveland Police,Cleveland Police,-1.055165,54.615555,On or near BEECH AVENUE,E01012184,Redcar and Cleveland 001D,Local resolution
bef239d16cdc1076f6caf208225825985c1575a41a292ea118e31312f07aaf08,2017-02,Cleveland Police,Cleveland Police,-1.312793,54.565733,On or near HIGH STREET,E01012266,Stockton-on-Tees 014E,Local resolution
061acc29a549142dbff36d5f4a3fe09538dfa9c77aad6819abb9c22e925da58f,2017-02,Cleveland Police,Cleveland Police,-1.068365,54.610517,On or near LOWESWATER GROVE,E01012144,Redcar and Cleveland 002D,Local resolution
205cc4f29c1dcd1de69a5a1196d780945e2f7ce18c45077d74bf78c1818075ad,2017-02,Cleveland Police,Cleveland Police,-1.054833,54.616523,On or near GRANVILLE TERRACE,E01012184,Redcar and Cleveland 001D,Local resolution
1147960eca1420f979e4e212185831fc420568c348281e0d524d9efd7b4e5235,2017-02,Cleveland Police,Cleveland Police,-1.217859,54.678968,On or near ALSTON STREET,E01011951,Hartlepool 007A,Local resolution
2f3a5c9e47a74e2686ef67bb593c8b823709a5caefff9d10547c7d5d11158765,2017-02,Cleveland Police,Cleveland Police,-1.289696,54.537596,On or near Supermarket,E01012284,Stockton-on-Tees 020C,Local resolution
074b114f0ad99a6c8d86a2927db7afece33d1d84bfc6576e75e3f3fab0d7cd82,2017-02,Cleveland Police,Cleveland Police,-1.162701,54.567664,On or near Sports/Recreation Area,E01033470,Redcar and Cleveland 022G,Local resolution
c7bf0d59cec8fe7e1ac1857644c77e747783e65168b6d7932c704d583da04e18,2017-02,Cleveland Police,Cleveland Police,-1.212289,54.683093,On or near Shopping Area,E01011999,Hartlepool 007D,Local resolution
78ea3db44b2f06456f8d297ed61ea97172a70ceed8a70611da5b90b2ec2e4975,2017-02,Cleveland Police,Cleveland Police,-1.306877,54.576196,On or near Sports/Recreation Area,E01012268,Stockton-on-Tees 010E,Local resolution
fc8aa362d94932f1659fb02db4c6e279fde606939414734d1dc98a2fa99ff2d9,2017-02,Cleveland Police,Cleveland Police,-1.226803,54.691454,On or near JESMOND ROAD,E01012002,Hartlepool 006D,Local resolution
a7e64e3f5367bc7b1b6398887a5a03bf4e2f52be40e4599e38b546a54f096ebd,2017-02,Cleveland Police,Cleveland Police,-1.226803,54.691454,On or near JESMOND ROAD,E01012002,Hartlepool 006D,Local resolution
941b9d0a3087df7a37729072f9044b24be9c985ec9de792da510f89ad8e846cd,2017-02,Cleveland Police,Cleveland Police,-1.289727,54.573203,On or near Shopping Area,E01012266,Stockton-on-Tees 014E,Local resolution
f4c569fbd2b3e4699ed647cb3a955dfc0cc400f484c0f4d7cc7eb988c7199700,2017-02,Cleveland Police,Cleveland Police,-0.989146,54.563283,On or near MARSKE LANE,E01012165,Redcar and Cleveland 012D,Local resolution
779cd5000aeb754ca789186ac3d02c1558a2250c2618e243315b8e3f281b1ea0,2017-02,Cleveland Police,Cleveland Police,-1.350231,54.589404,On or near ELTON CLOSE,E01012250,Stockton-on-Tees 009E,Local resolution
08555aef0628c474c837d5120e59bec5dced08ef9b4687fd33b46a49f03a6dea,2017-02,Cleveland Police,Cleveland Police,-1.165761,54.568565,On or near Parking Area,E01033470,Redcar and Cleveland 022G,Local resolution
cd9070512aa9422fcee0208726243c64a7e6542725098516a73194603962e268,2017-02,Cleveland Police,Cleveland Police,-1.318320,54.514331,On or near ROCHESTER COURT,E01012227,Stockton-on-Tees 023A,Local resolution
b4811ad958898291019dd2afe0340a57a699a66916327405190eb1f207166916,2017-02,Cleveland Police,Cleveland Police,-1.216896,54.578200,On or near Riverside Stadium,E01033468,Middlesbrough 001G,Offender given a drugs possession warning
