Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
1cefdebebe8691d58a794f0667ce61c29a9a7ac06575d7eb4cb904b9118d71d4,2017-01,Suffolk Constabulary,Suffolk Constabulary,1.128724,52.041331,On or near MAGDALENE CLOSE,E01030018,Ipswich 015B,Investigation complete; no suspect identified
8b773059046672b9898e70c18aef5b7e518d15f5473131c12dad09b5d481f40f,2017-01,Suffolk Constabulary,Suffolk Constabulary,1.066131,51.964058,On or near PINE CLOSE,E01029872,Babergh 010B,Investigation complete; no suspect identified
cebfffd28e4731bb5eaf3b55749a2ba0bf54a6c822db07dbfa5da469a477f357,2017-01,Suffolk Constabulary,Suffolk Constabulary,1.720645,52.471469,On or near SCHOOL ROAD,E01030289,Waveney 005D,Investigation complete; no suspect identified
82f360bfc89c4a2a8eee2dab38ae1e9e1e1997b35cd667b0ed5f2a2ea4b9f71a,2017-01,Suffolk Constabulary,Suffolk Constabulary,1.449591,52.272672,On or near MILL HILL,E01030201,Suffolk Coastal 001A,Investigation complete; no suspect identified
2b2929554c118dcc25dfc57cf8b444d7410516c67d601ef37d25a4f40dfe04bc,2017-01,Suffolk Constabulary,Suffolk Constabulary,1.147241,52.320194,On or near BUCKSHORN LANE,E01030052,Mid Suffolk 001A,Investigation complete; no suspect identified
aa8405eaa49af67546ce4e7f6df76458c36d4486833e943eee124d1cbe4eefd6,2017-01,Suffolk Constabulary,Suffolk Constabulary,0.753381,52.249227,On or near MOUNT ROAD,E01033044,St Edmundsbury 005E,Investigation complete; no suspect identified
50657f552186df23d0bd900fbdb6776bcfa53c7eae7e21606ff07e865fb3dc97,2017-01,Suffolk Constabulary,Suffolk Constabulary,1.503774,52.345162,On or near MALTINGS CLOSE,E01030244,Waveney 015C,Investigation complete; no suspect identified
fb17d0472cda92a75aab3005734890de11b7ebf2c5f66919f0be7e74fbd6f17d,2017-01,Suffolk Constabulary,Suffolk Constabulary,1.135534,52.037984,On or near STOKE PARK DRIVE,E01030020,Ipswich 015D,Investigation complete; no suspect identified
16b817b56d76b00589b8c7813ace5a107cb6fb28a5c0d9e44bcc860f1f5b8fc6,2017-01,Suffolk Constabulary,Suffolk Constabulary,0.856821,52.030031,On or near SWAN STREET,E01029875,Babergh 009A,Investigation complete; no suspect identified
668046ebcb7ad1d9f0192dbcc331028b07c0c8b812b786b70427e279946a71c6,2017-01,Suffolk Constabulary,Suffolk Constabulary,0.729084,52.226482,On or near Parking Area,E01030119,St Edmundsbury 008C,Investigation complete; no suspect identified
917690b08c49548fbb1863365ae28256c16b5f7930fb970471c591ced57c44a5,2017-01,Suffolk Constabulary,Suffolk Constabulary,1.736216,52.476707,On or near EASTERN WAY,E01030264,Waveney 004E,Investigation complete; no suspect identified
0d353db199e4602f2920b62774299cf5588b301f29c11fb88915f238278b2b26,2017-01,Suffolk Constabulary,Suffolk Constabulary,0.509692,52.343264,On or near HIGH STREET,E01029947,Forest Heath 004E,Investigation complete; no suspect identified
bf3882b949afb89bdff1cbf059045fc54d8e9f19ebe581069f6005693292f963,2017-01,Suffolk Constabulary,Suffolk Constabulary,1.747172,52.475965,On or near BEVAN STREET WEST,E01030250,Waveney 004D,Investigation complete; no suspect identified
ddf9ec19c688de920b74ece5b1b5a2496d462bb41d4ad4f50836a30fbf8c572e,2017-01,Suffolk Constabulary,Suffolk Constabulary,1.722270,52.443273,On or near Petrol Station,E01030253,Waveney 012D,Investigation complete; no suspect identified
4b89e23440388699a10ac97b480bc3f84727427392f460151baafa54a6be98ba,2017-01,Suffolk Constabulary,Suffolk Constabulary,0.744654,52.240779,On or near CHAMBERLAYNE ROAD,E01030129,St Edmundsbury 005D,Investigation complete; no suspect identified
4d65ea5eba06f5452a6dbbfb3c237f74b5e721b2a340c941b2d41ad00d2bfb1d,2017-01,Suffolk Constabulary,Suffolk Constabulary,1.521276,52.271219,On or near Parking Area,E01030222,Suffolk Coastal 001C,Investigation complete; no suspect identified
4b7900467f11993c6d5fdd7d825bb3ec66b683855f865855cde79a9c1ddadbf5,2017-01,Suffolk Constabulary,Suffolk Constabulary,1.057620,51.958163,On or near CATTAWADE STREET,E01029870,Babergh 010A,Investigation complete; no suspect identified
224d95c116aaf9a3500d36a078b361b24eb626f50eef5a547b1bf58e624ac1ad,2017-01,Suffolk Constabulary,Suffolk Constabulary,0.491474,52.367587,On or near LAMBLE CLOSE,E01032525,Forest Heath 003H,Investigation complete; no suspect identified
5f1015c17cdc69455e5fc24d349376745731c814cdf3fe30c9648944ae3dd1ff,2017-01,Suffolk Constabulary,Suffolk Constabulary,0.963380,52.026579,On or near GARDENERS CLOSE,E01029902,Babergh 009C,Investigation complete; no suspect identified
8000c67a3c68eff228c28c37a0177d444cf6004932a5203672477458fda2eabc,2017-01,Suffolk Constabulary,Suffolk Constabulary,0.422489,52.080341,On or near OLD ROPE WALK,E01030115,St Edmundsbury 013A,Investigation complete; no suspect identified
7e95b20d93d50c6bab0aff65ce9b2c288d1448bce8d0fcedbd28047f9991b3e4,2017-01,Suffolk Constabulary,Suffolk Constabulary,0.782684,52.233072,On or near Sports/Recreation Area,E01030138,St Edmundsbury 004C,Investigation complete; no suspect identified
