Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
155a34a38da5e646c9f265c59616c49b5c51970ac694d83ca6c57afcddc8e0bd,2016-12,Suffolk Constabulary,Suffolk Constabulary,1.194577,52.027673,On or near ELDERBERRY ROAD,E01033127,Ipswich 014E,Investigation complete; no suspect identified
84c8039a38f6de921a3ce861d3df66bb6d361f00fc28ae57f8e44244ceeae3ef,2016-12,Suffolk Constabulary,Suffolk Constabulary,1.748217,52.481328,On or near BERESFORD ROAD,E01030249,Waveney 004C,Investigation complete; no suspect identified
e0f049eb1fe36c6eb60ced2cc7c2031d7bac569492ee7f2d238a9ad85679a8d7,2016-12,Suffolk Constabulary,Suffolk Constabulary,1.134124,52.047843,On or near MAPLE CLOSE,E01029986,Ipswich 010C,Investigation complete; no suspect identified
f92926ba2266daf87bdef80666f5129af99510a5fca03255e756909d824a5d14,2016-12,Suffolk Constabulary,Suffolk Constabulary,1.195081,52.058032,On or near LATTICE AVENUE,E01030004,Ipswich 008C,Investigation complete; no suspect identified
f11308eb91634055e3780d9211c4d28b96ba2b4f9c9c8f239ccb43dfe34f3f06,2016-12,Suffolk Constabulary,Suffolk Constabulary,0.998982,52.189081,On or near Nightclub,E01030071,Mid Suffolk 010B,Investigation complete; no suspect identified
c5c7f9132ed400317286aefef775dda6a712ad4ab2d1a5c15a0c302113d60731,2016-12,Suffolk Constabulary,Suffolk Constabulary,1.522036,52.345617,On or near ORCHARD VALLEY,E01030229,Waveney 015A,Investigation complete; no suspect identified
58031bd9d967a8fe7dcec6fe5f1abb0c9c0a2a0e24eb9497d86f46cab74b7551,2016-12,Suffolk Constabulary,Suffolk Constabulary,0.667434,52.159088,On or near BIRDBROOK,E01030099,St Edmundsbury 010A,Investigation complete; no suspect identified
b73fc58fd5b0b18017ed1933da16ad7b4ca99eee791ff70f32e71139ec41574a,2016-12,Suffolk Constabulary,Suffolk Constabulary,1.187259,52.046543,On or near MALVERN CLOSE,E01029995,Ipswich 014C,Investigation complete; no suspect identified
2af17bb9d8614352f8b1e3dcfd36cedd9dacbcfefccc3bad5e91442d2e686818,2016-12,Suffolk Constabulary,Suffolk Constabulary,0.998446,52.180461,On or near Petrol Station,E01030080,Mid Suffolk 008D,Investigation complete; no suspect identified
7013d1eb42f8fda094ef45914a94da7a4d88728eff9eb4c49c7678335aa41b3d,2016-12,Suffolk Constabulary,Suffolk Constabulary,1.718816,52.496910,On or near AIREY CLOSE,E01030266,Waveney 003A,Investigation complete; no suspect identified
dba6909de3d1919551a6bbd2742b967a6c9f7e9dc2471725cd931fa38c4a64ea,2016-12,Suffolk Constabulary,Suffolk Constabulary,1.752072,52.476592,On or near Shopping Area,E01030249,Waveney 004C,Investigation complete; no suspect identified
277149b86a8dbca97ae575774065e66b194b4898556dfa8104d22b090b0fd88d,2016-12,Suffolk Constabulary,Suffolk Constabulary,1.130355,52.085097,On or near BYRON ROAD,E01030035,Ipswich 001D,Investigation complete; no suspect identified
6cca79c5b0206a6b00dbb015c046dbcee2d01c6270f5effacf9c045295ad5f44,2016-12,Suffolk Constabulary,Suffolk Constabulary,0.738957,52.250075,On or near LEABROOK CLOSE,E01030127,St Edmundsbury 005B,Investigation complete; no suspect identified
6e9b3889f9e8f7bb1c8beb21b578b326e73eb8bc893117472cc51e4e18bcd23b,2016-12,Suffolk Constabulary,Suffolk Constabulary,0.712709,52.246132,On or near Parking Area,E01030091,St Edmundsbury 006A,Investigation complete; no suspect identified
77292e604d32bc8006624203682dc46352a3f86e4da7d8f617850218eaf6aec1,2016-12,Suffolk Constabulary,Suffolk Constabulary,1.129089,51.967850,On or near HYAM'S LANE,E01029871,Babergh 011A,Investigation complete; no suspect identified
619c818157d76e96a053c4b1ecb49c17e6f24bb93999ab26cb257619c78759e8,2016-12,Suffolk Constabulary,Suffolk Constabulary,1.192841,52.026632,On or near FEN BIGHT CIRCLE,E01033127,Ipswich 014E,Investigation complete; no suspect identified
c35b089895e97218bf86bd71dce9bd21605d115c7f5bc31379d82bf7f25c4102,2016-12,Suffolk Constabulary,Suffolk Constabulary,0.714239,52.244082,On or near HATTER STREET,E01030091,St Edmundsbury 006A,Investigation complete; no suspect identified
e2d224c3de8e937f33366155357e7077d0e4bca3ff72fa897e4abebf7d237cd9,2016-12,Suffolk Constabulary,Suffolk Constabulary,1.139549,52.058635,On or near GIBBONS STREET,E01029988,Ipswich 010E,Investigation complete; no suspect identified
7c2a173912e709295afe404453049c5406fabaa8d7cee79118b4a0c4acdc3e6a,2016-12,Suffolk Constabulary,Suffolk Constabulary,1.167246,52.145620,On or near CHURCH ROAD,E01030057,Mid Suffolk 007B,Investigation complete; no suspect identified
6a511724a978b2d09923047842c429fba46794596923479f26089de0d0e8c580,2016-12,Suffolk Constabulary,Suffolk Constabulary,1.120812,52.303772,On or near BRAISEWORTH LANE,E01030087,Mid Suffolk 007D,Investigation complete; no suspect identified
787244b4d820ec876018c884183535be6583bad725e99a4877d3ce04c43456f2,2016-12,Suffolk Constabulary,Suffolk Constabulary,0.995010,52.187455,On or near CROWE STREET,E01030071,Mid Suffolk 010B,Investigation complete; no suspect identified
db1fb947e509405f494b9d11103e4b0f41cefafb59470cef63da06cd3c70282a,2016-12,Suffolk Constabulary,Suffolk Constabulary,1.172386,52.063700,On or near BELVEDERE ROAD,E01030000,Ipswich 004D,Investigation complete; no suspect identified
4276c17d446c39ed9aa3aa58411649cba48e0b5ca4f207e8ebe505707127a88d,2016-12,Suffolk Constabulary,Suffolk Constabulary,1.160183,52.052696,On or near WHERRY QUAY,E01033124,Ipswich 007F,Investigation complete; no suspect identified
1929f25c858f23009c7a74b1b49f9a615985bc34d62a9c9a265e8e1b20cf0470,2016-12,Suffolk Constabulary,Suffolk Constabulary,1.570359,52.456300,On or near Petrol Station,E01030223,Waveney 010A,Investigation complete; no suspect identified
7feceb9008d19c4b3cd3a5becd77dc474072e2c81d35d8e871633f0ce585b6d7,2016-12,Suffolk Constabulary,Suffolk Constabulary,0.603445,52.442984,On or near POND LANE,E01029929,Forest Heath 001D,Investigation complete; no suspect identified
99cc6136132712aeec9c0086d529143a8f659d88361935e75a710341c39f59e3,2016-12,Suffolk Constabulary,Suffolk Constabulary,0.995010,52.187455,On or near CROWE STREET,E01030071,Mid Suffolk 010B,Investigation complete; no suspect identified
5a3fb9c54d1668aa1f12f6e75b752a08249f9f8b15db885aa27bfa532482410a,2016-12,Suffolk Constabulary,Suffolk Constabulary,1.582369,52.450081,On or near CODLINS LANE,E01030292,Waveney 011C,Investigation complete; no suspect identified
8b363cb83d5328c392f844762057abe566900b31da43cebda8d1234596cd849a,2016-12,Suffolk Constabulary,Suffolk Constabulary,1.741519,52.470639,On or near HORN HILL,E01030258,Waveney 007D,Investigation complete; no suspect identified
