Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
64322aa33b1329f78a9a3f7018dd7679de509fbb76de740cf6cbaf47967bdde1,2017-03,Suffolk Constabulary,Suffolk Constabulary,,,No location,,,Formal action is not in the public interest
fc1b33d342e14ffa177b826966778dc1476a36ce9b5586ae4348a76377860a79,2017-03,Suffolk Constabulary,Suffolk Constabulary,,,No location,,,Investigation complete; no suspect identified
af18f860664ad1070e5e8cb1986782d8ffd52cec97f86e8cffc5b9a2cfcdf39b,2017-03,Suffolk Constabulary,Suffolk Constabulary,0.710430,52.160886,On or near CHURCHILL CLOSE,E01029881,Babergh 002A,Investigation complete; no suspect identified
346d3409916e163e38f97b060c7543db14b446d68b404c001ad1273310776189,2017-03,Suffolk Constabulary,Suffolk Constabulary,1.131450,52.046943,On or near JASMINE CLOSE,E01029986,Ipswich 010C,Investigation complete; no suspect identified
9dffde6f776827dcc493c41a458bdcc938cada54e2b36d419fa9893ecb2e2342,2017-03,Suffolk Constabulary,Suffolk Constabulary,1.571080,52.452842,On or near INGATE,E01030223,Waveney 010A,Investigation complete; no suspect identified
5956b61fb0c568e859f3c4710e4c09825b4038ff254ff986c50667ab96ce65d1,2017-03,Suffolk Constabulary,Suffolk Constabulary,1.569895,52.449298,On or near Supermarket,E01030223,Waveney 010A,Investigation complete; no suspect identified
a3ef4b554a1b7003c0c439c82033243e43171a06eb891e169100eb71c3434e6e,2017-03,Suffolk Constabulary,Suffolk Constabulary,0.996092,52.192446,On or near CROWN STREET,E01030076,Mid Suffolk 010D,Investigation complete; no suspect identified
1c25da6c71170dd2a3dd3f8677e2b5a36e694a6d7342666a75ba9e7295f2bed9,2017-03,Suffolk Constabulary,Suffolk Constabulary,1.150779,52.058983,On or near HIGH STREET,E01033125,Ipswich 007G,Investigation complete; no suspect identified
3845c1d5ec32fbc644bd984cd8552ca952d12176b15a0fa6ef25801673677540,2017-03,Suffolk Constabulary,Suffolk Constabulary,0.706902,52.252056,On or near FEN WAY,E01033043,St Edmundsbury 006E,Investigation complete; no suspect identified
10831a37c724bd5a12065651326044aede49681f7b2c23b34c7aaabd9cb72508,2017-03,Suffolk Constabulary,Suffolk Constabulary,1.743636,52.482373,On or near Further/Higher Educational Building,E01030261,Waveney 002A,Investigation complete; no suspect identified
bafe43fa7680cd39545c36d23c3e37f514daa017f2002fc727877973a77f00e1,2017-03,Suffolk Constabulary,Suffolk Constabulary,1.172464,52.085167,On or near WESTERFIELD ROAD,E01030221,Suffolk Coastal 006C,Investigation complete; no suspect identified
