Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
52c45f08844e774cf8b950f2392f1b26352fd053fd650dad4fbde39f95a51190,2017-04,Suffolk Constabulary,Suffolk Constabulary,1.611804,52.175358,On or near THORPE ROAD,E01030152,Suffolk Coastal 004A,Investigation complete; no suspect identified
df3460201134d722856b945c8711b0015f10b2c39a01a8909efca7bd76cbc320,2017-04,Suffolk Constabulary,Suffolk Constabulary,1.102290,52.038928,On or near OLDFIELD ROAD,E01029909,Babergh 005E,Investigation complete; no suspect identified
29953959402f2553981d92ff6f6890863ef7d437880c17bbec3a147df7a9ee08,2017-04,Suffolk Constabulary,Suffolk Constabulary,1.118152,52.074448,On or near Supermarket,E01030029,Ipswich 003C,Investigation complete; no suspect identified
e05aa156bdced4574cb80d17752d9213175b64cbea13a12d657c34bc894c78fc,2017-04,Suffolk Constabulary,Suffolk Constabulary,1.157595,52.057577,On or near Supermarket,E01033129,Ipswich 007H,Investigation complete; no suspect identified
8a17f5da4dd1c00dd13daa8eae88f591524a7dacb25442350df1b0f146e317b2,2017-04,Suffolk Constabulary,Suffolk Constabulary,1.157595,52.057577,On or near Supermarket,E01033129,Ipswich 007H,Investigation complete; no suspect identified
2143717230762878c13e7bb35810b12306412f3e273330dec2570c5bcbcbfd59,2017-04,Suffolk Constabulary,Suffolk Constabulary,1.191870,52.054944,On or near COPLESTON ROAD,E01030004,Ipswich 008C,Investigation complete; no suspect identified
e81f27a13a56e647aec388f2003983c10f1eb5aa0dc3ec88a951a97c7d001b28,2017-04,Suffolk Constabulary,Suffolk Constabulary,1.155317,52.050713,On or near GOWER STREET,E01033122,Ipswich 012F,Investigation complete; no suspect identified
83e707232fe3fe51cc71e185623ac15bf8bb2f20260aaaf889f9be26576d9e0c,2017-04,Suffolk Constabulary,Suffolk Constabulary,0.624262,52.452299,On or near RIVERSIDE WAY,E01029927,Forest Heath 001B,Investigation complete; no suspect identified
4142367cd768f867dd0625dde32b7c18b350b7696b52a77cc9888a2a311cb9af,2017-04,Suffolk Constabulary,Suffolk Constabulary,1.589352,52.169253,On or near LEISTON ROAD,E01030152,Suffolk Coastal 004A,Investigation complete; no suspect identified
f412bd3a8be0baea1ed2d133be1967a7a7ab55ef7a93233ed70992049888ecab,2017-04,Suffolk Constabulary,Suffolk Constabulary,1.739907,52.466912,On or near BEACONSFIELD ROAD,E01030254,Waveney 007B,Investigation complete; no suspect identified
8811178eecacd5eb9d141463db2c61cc61597607f70a06b05e9be0f2f01ab233,2017-04,Suffolk Constabulary,Suffolk Constabulary,0.410563,52.246127,On or near Petrol Station,E01029925,Forest Heath 008A,Investigation complete; no suspect identified
bedb1afbe94a25229f95c8b4283d5be254c8bb3a7f7fb0b06e6a21016f8d13fa,2017-04,Suffolk Constabulary,Suffolk Constabulary,1.277346,52.066033,On or near Petrol Station,E01030190,Suffolk Coastal 010C,Investigation complete; no suspect identified
d37529f86cb55d3c2813946836d7ca401611137e311709abe3e9ac31f3a75c5d,2017-04,Suffolk Constabulary,Suffolk Constabulary,1.193445,52.033262,On or near WYVERN ROAD,E01033128,Ipswich 014F,Investigation complete; no suspect identified
719c44e5fc72554181303abef72e24dfcff78914c99eb4f455dd4faf9ee314be,2017-04,Suffolk Constabulary,Suffolk Constabulary,1.572037,52.452472,On or near THE HEIGHTS,E01030223,Waveney 010A,Investigation complete; no suspect identified
05852b49a1a9848a5a8c594a81a557b4f8bc531d46434eaee25ac06620f503ea,2017-04,Suffolk Constabulary,Suffolk Constabulary,1.735525,52.503642,On or near Supermarket,E01030242,Waveney 001C,Investigation complete; no suspect identified
9f85f2654c78bfec3ade20b07d09915c8a05e151bf4de62374e3b2741126b3ca,2017-04,Suffolk Constabulary,Suffolk Constabulary,1.564558,52.461764,On or near RAVENSMERE,E01030225,Waveney 010C,Investigation complete; no suspect identified
8015b438ed64b5ea597d7ebb5ad77630f001c4b25337f8641d7db8fd8d88ae6b,2017-04,Suffolk Constabulary,Suffolk Constabulary,0.742115,52.243311,On or near SUTTON CLOSE,E01030129,St Edmundsbury 005D,Investigation complete; no suspect identified
10d9ed66049f6aa31933b2b7a047af7cd0d462ba3434d4e943b492665b00d0a1,2017-04,Suffolk Constabulary,Suffolk Constabulary,1.316390,51.979872,On or near ST MARY'S CLOSE,E01030215,Suffolk Coastal 012C,Investigation complete; no suspect identified
